title,link,description,date,source
ICE arrests 15 nonimmigrant students for OPT-related fraud - U.S. Immigration and Customs Enforcement Newsroom,https://www.ice.gov/news/releases/ice-arrests-15-nonimmigrant-students-opt-related-fraud,"l><li><a href=""https://www.ice.gov/news/releases/ice-arrests-15-nonimmigrant-students-opt-related-fraud"" target=""_blank"">ICE arrests 15 nonimmigrant students for OPT-related fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">U.S. Immigration and Customs Enforcement Newsroom</font></li><li><a href=""https://pittsburgh.cbslocal.com/2020/10/21/homeland-security-pittsburgh-nonimmigrant-students-arrested-fraud-investigation/"" target=""_blank"">DHS, ICE Arrest 15 Nonimmigrant Students, Some Located In Pittsburgh, As Part Of Probe Into Alleged Fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CBS Pittsburgh</font></li><li><a href=""https://www.nbcnews.com/politics/immigration/ice-arrests-15-foreign-students-allegedly-using-visa-program-stay-n1244170"" target=""_blank"">ICE arrests 15 foreign students for allegedly using visa program to stay in U.S. fraudulently</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NBC News</font></li><li><a href=""https://www.radio.com/kdkaradio/news/local/ice-arrest-nonimmigrant-students-in-pittsburgh-other-cities"" target=""_blank"">ICE arrests nonimmigrant students in Pittsburgh and other cities for fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">RADIO.COM</font></li><li><strong><a href=""https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWlsbE1PR2tZQU1FVjZNZXBaNE9hSDZLQUFQAQ?oc=5"" target=""_blank"">View Full Coverage on Google News</a></strong></li></ol",2020-10-21 15:47:07+00:00,U.S. Immigration and Customs Enforcement Newsroom
Feds arrest rapper who bragged in music video about getting rich from jobless benefits scam - CBS News,https://www.cbsnews.com/news/fontrell-baines-rapper-arrested-bragged-video-fraud-scheme/,"l><li><a href=""https://www.cbsnews.com/news/fontrell-baines-rapper-arrested-bragged-video-fraud-scheme/"" target=""_blank"">Feds arrest rapper who bragged in music video about getting rich from jobless benefits scam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CBS News</font></li><li><a href=""https://www.nytimes.com/2020/10/18/us/nuke-bizzle-fraud-youtube.html"" target=""_blank"">Rapper Nuke Bizzle Is Arrested After Bragging About Unemployment Fraud in Video</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font></li><li><a href=""https://myfox8.com/news/rapper-who-boasted-about-unemployment-fraud-scheme-arrested-for-fraud/"" target=""_blank"">Rapper who boasted about unemployment fraud scheme arrested for fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WGHP FOX 8 Greensboro</font></li><li><a href=""https://www.nbcnews.com/news/us-news/rapper-charged-coronavirus-benefit-fraud-after-boasting-song-about-benefit-n1243844"" target=""_blank"">Rapper charged with coronavirus benefit fraud after boasting in song about benefit fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NBC News</font></li><li><a href=""https://abc7.com/nuke-bizzle-arrested-unemployment-fraud-edd-benefits/7090168/"" target=""_blank"">Nuke Bizzle arrested: Rapper who boasted about unemployment fraud scheme arrested in LA</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KABC-TV</font></li><li><strong><a href=""https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWpJbDR1QmtZQU1FUjZkYllfMUk0ZE5LQUFQAQ?oc=5"" target=""_blank"">View Full Coverage on Google News</a></strong></li></ol",2020-10-19 10:31:00+00:00,CBS News
Bossier City man among first 6 arrests for COVID-19 unemployment fraud - Shreveport Times,https://www.shreveporttimes.com/story/news/crime/2020/10/21/bossier-city-man-among-covid-19-unemployment-fraud-arrests/3718652001/," href=""https://www.shreveporttimes.com/story/news/crime/2020/10/21/bossier-city-man-among-covid-19-unemployment-fraud-arrests/3718652001/"" target=""_blank"">Bossier City man among first 6 arrests for COVID-19 unemployment fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Shreveport Times</font",2020-10-21 20:30:23+00:00,Shreveport Times
Executive Director Of The Verde Valley Homeless Coalition Arrested For Fraud And Embezzlement - KAFF News,https://gcmaz.com/executive-director-of-the-verde-valley-homeless-coalition-arrested-for-fraud-and-embezzlement/," href=""https://gcmaz.com/executive-director-of-the-verde-valley-homeless-coalition-arrested-for-fraud-and-embezzlement/"" target=""_blank"">Executive Director Of The Verde Valley Homeless Coalition Arrested For Fraud And Embezzlement</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KAFF News</font",2020-10-26 19:00:00+00:00,KAFF News
Woman Arrested For EDD Fraud As She Arrived At Riverside Superior Court For Unrelated Identity Theft Case - CBS Los Angeles,https://losangeles.cbslocal.com/2020/10/19/woman-arrested-edd-fraud-at-riverside-superior-court-unrelated-identity-theft-case/," href=""https://losangeles.cbslocal.com/2020/10/19/woman-arrested-edd-fraud-at-riverside-superior-court-unrelated-identity-theft-case/"" target=""_blank"">Woman Arrested For EDD Fraud As She Arrived At Riverside Superior Court For Unrelated Identity Theft Case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CBS Los Angeles</font",2020-10-19 07:00:00+00:00,CBS Los Angeles
Woman arrested for tax fraud and identity theft in Camarillo - NewsChannel 3-12 - KEYT,https://keyt.com/news/crime/2020/10/19/woman-arrested-for-tax-fraud-and-identity-theft-in-camarillo/," href=""https://keyt.com/news/crime/2020/10/19/woman-arrested-for-tax-fraud-and-identity-theft-in-camarillo/"" target=""_blank"">Woman arrested for tax fraud and identity theft in Camarillo - NewsChannel 3-12</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KEYT</font",2020-10-20 05:31:16+00:00,KEYT
Man arrested for voter fraud in Luzerne County - WNEP Scranton/Wilkes-Barre,https://www.wnep.com/article/news/local/luzerne-county/man-arrested-for-voter-fraud-in-luzerne-county/523-7fc4fd2f-9105-47e7-a510-2b5ff176ab2c," href=""https://www.wnep.com/article/news/local/luzerne-county/man-arrested-for-voter-fraud-in-luzerne-county/523-7fc4fd2f-9105-47e7-a510-2b5ff176ab2c"" target=""_blank"">Man arrested for voter fraud in Luzerne County</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WNEP Scranton/Wilkes-Barre</font",2020-10-21 19:58:00+00:00,WNEP Scranton/Wilkes-Barre
Feds arrest former Amazon employee after company reported him to FBI for fraud - TechCrunch,https://techcrunch.com/2020/10/05/feds-arrest-former-amazon-employee-after-company-reported-him-to-fbi-for-fraud/," href=""https://techcrunch.com/2020/10/05/feds-arrest-former-amazon-employee-after-company-reported-him-to-fbi-for-fraud/"" target=""_blank"">Feds arrest former Amazon employee after company reported him to FBI for fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TechCrunch</font",2020-10-05 07:00:00+00:00,TechCrunch
Carrollton mayor candidate arrested on mail fraud allegation - KLTV,https://www.kltv.com/2020/10/08/carrollton-mayor-candidate-arrested-mail-fraud-allegation/," href=""https://www.kltv.com/2020/10/08/carrollton-mayor-candidate-arrested-mail-fraud-allegation/"" target=""_blank"">Carrollton mayor candidate arrested on mail fraud allegation</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KLTV</font",2020-10-08 07:00:00+00:00,KLTV
Leesburg Man Arrested for $2.5M CARES Act Loan Fraud - Loudoun Now,https://loudounnow.com/2020/10/20/leesburg-man-arrested-for-2-5m-cares-act-loan-fraud/," href=""https://loudounnow.com/2020/10/20/leesburg-man-arrested-for-2-5m-cares-act-loan-fraud/"" target=""_blank"">Leesburg Man Arrested for $2.5M CARES Act Loan Fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Loudoun Now</font",2020-10-20 16:42:00+00:00,Loudoun Now
