title,link,description,date,source
Indian Police Accuse Popular TV Station of Ratings Fraud - The New York Times,https://www.nytimes.com/2020/10/09/world/asia/india-republic-tv-ratings.html," href=""https://www.nytimes.com/2020/10/09/world/asia/india-republic-tv-ratings.html"" target=""_blank"">Indian Police Accuse Popular TV Station of Ratings Fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New York Times</font",2020-10-09 07:00:00+00:00,The New York Times
Clarkston business owner accused of bribing federal official to win construction contract - The Spokesman-Review,https://www.spokesman.com/stories/2020/oct/22/clarkston-business-owner-accused-of-bribing-federa/," href=""https://www.spokesman.com/stories/2020/oct/22/clarkston-business-owner-accused-of-bribing-federa/"" target=""_blank"">Clarkston business owner accused of bribing federal official to win construction contract</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Spokesman-Review</font",2020-10-22 18:46:44+00:00,The Spokesman-Review
Washington contractor charged with bribing BIA official for jobs in New Mexico - KRQE News 13,https://www.krqe.com/news/crime/washington-contractor-charged-with-bribing-bia-official-for-jobs-in-new-mexico/," href=""https://www.krqe.com/news/crime/washington-contractor-charged-with-bribing-bia-official-for-jobs-in-new-mexico/"" target=""_blank"">Washington contractor charged with bribing BIA official for jobs in New Mexico</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KRQE News 13</font",2020-10-23 12:58:00+00:00,KRQE News 13
Retired CBI officer among two arrested in Rs 25-lakh bribery case - DNA India,https://www.dnaindia.com/india/report-retired-cbi-officer-among-two-arrested-in-rs-25-lakh-bribery-case-2847412," href=""https://www.dnaindia.com/india/report-retired-cbi-officer-among-two-arrested-in-rs-25-lakh-bribery-case-2847412"" target=""_blank"">Retired CBI officer among two arrested in Rs 25-lakh bribery case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DNA India</font",2020-10-04 07:00:00+00:00,DNA India
Another lawyer who accused Texas AG of crimes resigns - Outlook India,https://www.outlookindia.com/newsscroll/another-lawyer-who-accused-texas-ag-of-crimes-resigns/1964769," href=""https://www.outlookindia.com/newsscroll/another-lawyer-who-accused-texas-ag-of-crimes-resigns/1964769"" target=""_blank"">Another lawyer who accused Texas AG of crimes resigns</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Outlook India</font",2020-10-27 00:45:55+00:00,Outlook India
ED files prosecution complaint against 11 in railway bribery case - The Tribune India,https://www.tribuneindia.com/news/nation/ed-files-prosecution-complaint-against-11-in-railway-bribery-case-152030," href=""https://www.tribuneindia.com/news/nation/ed-files-prosecution-complaint-against-11-in-railway-bribery-case-152030"" target=""_blank"">ED files prosecution complaint against 11 in railway bribery case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune India</font",2020-10-07 07:00:00+00:00,The Tribune India
ED glare on Kerala MLA - Telegraph India,https://www.telegraphindia.com/india/ed-glare-on-kerala-mla-k-m-shaji/cid/1795712," href=""https://www.telegraphindia.com/india/ed-glare-on-kerala-mla-k-m-shaji/cid/1795712"" target=""_blank"">ED glare on Kerala MLA</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Telegraph India</font",2020-10-26 18:58:30+00:00,Telegraph India
Two leaves symbol bribery case: Supreme Court grants 2-week bail for accused middleman - India Legal,https://www.indialegallive.com/constitutional-law-news/courts-news/two-leaves-symbol-bribery-case-supreme-court-grants-2-week-bail-for-accused-middleman/," href=""https://www.indialegallive.com/constitutional-law-news/courts-news/two-leaves-symbol-bribery-case-supreme-court-grants-2-week-bail-for-accused-middleman/"" target=""_blank"">Two leaves symbol bribery case: Supreme Court grants 2-week bail for accused middleman</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Legal</font",2020-09-29 07:00:00+00:00,India Legal
India committed to zero tolerance against graft: Union minister Jitendra Singh - Mint,https://www.livemint.com/news/india/india-committed-to-zero-tolerance-against-graft-union-minister-jitendra-singh-11603385677205.html," href=""https://www.livemint.com/news/india/india-committed-to-zero-tolerance-against-graft-union-minister-jitendra-singh-11603385677205.html"" target=""_blank"">India committed to zero tolerance against graft: Union minister Jitendra Singh</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Mint</font",2020-10-22 17:03:42+00:00,Mint
"ED files chargesheet against Pawan Bansal’s nephew, others in railway bribery case - The Tribune India",https://www.tribuneindia.com/news/chandigarh/ed-files-chargesheet-against-pawan-bansals-nephew-others-in-railway-bribery-case-151871," href=""https://www.tribuneindia.com/news/chandigarh/ed-files-chargesheet-against-pawan-bansals-nephew-others-in-railway-bribery-case-151871"" target=""_blank"">ED files chargesheet against Pawan Bansal’s nephew, others in railway bribery case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune India</font",2020-10-06 07:00:00+00:00,The Tribune India
