title,link,description,date,source
"LJP govt will send Nitish Kumar to jail if found guilty of corruption, says Chirag Paswan - Firstpost",https://www.firstpost.com/politics/ljp-govt-will-send-nitish-kumar-to-jail-if-found-guilty-of-corruption-says-chirag-paswan-8953531.html,"l><li><a href=""https://www.firstpost.com/politics/ljp-govt-will-send-nitish-kumar-to-jail-if-found-guilty-of-corruption-says-chirag-paswan-8953531.html"" target=""_blank"">LJP govt will send Nitish Kumar to jail if found guilty of corruption, says Chirag Paswan</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Firstpost</font></li><li><a href=""https://timesofindia.indiatimes.com/elections/assembly-elections/bihar/corrupt-nitish-kumar-involved-in-saat-nischay-scam-will-be-sent-to-jail-if-found-guilty-chirag-paswan/articleshow/78866605.cms"" target=""_blank"">'Corrupt' Nitish Kumar involved in 'Saat Nischay' scam, will be sent to jail if found guilty: Chirag Pasw</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font></li><li><a href=""https://www.thehitavada.com/Encyc/2020/10/27/Chirag-alleges-Nitish-s-involvement-in-Saat-Nischay-scam-vows-to-jail-him-if-found-guilty.html"" target=""_blank"">Chirag alleges Nitish's involvement in 'Saat Nischay' scam, vows to jail him if found guilty</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Hitavada</font></li><li><a href=""https://www.financialexpress.com/india-news/will-send-him-to-jail-chirag-paswan-promises-to-probe-corruption-by-nitish-kumar/2113881/"" target=""_blank"">‘Will send him to jail’: Chirag Paswan promises to probe corruption by Nitish Kumar</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Financial Express</font></li><li><strong><a href=""https://news.google.com/stories/CAAqOQgKIjNDQklTSURvSmMzUnZjbmt0TXpZd1NoTUtFUWo5eThlTGtZQU1FZG1aRHdiYlp0Qi1LQUFQAQ?oc=5"" target=""_blank"">View Full Coverage on Google News</a></strong></li></ol",2020-10-26 11:43:15+00:00,Firstpost
Two businessmen in Jiwasraya corruption case sentenced to life in prison - The Jakarta Post - Jakarta Post,https://www.thejakartapost.com/news/2020/10/27/two-businessmen-in-jiwasraya-corruption-case-sentenced-to-life-in-prison.html," href=""https://www.thejakartapost.com/news/2020/10/27/two-businessmen-in-jiwasraya-corruption-case-sentenced-to-life-in-prison.html"" target=""_blank"">Two businessmen in Jiwasraya corruption case sentenced to life in prison - The Jakarta Post</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jakarta Post</font",2020-10-27 04:47:00+00:00,Jakarta Post
"Former VC of Tamil Nadu Dr MGR Medical University found guilty of corruption, gets 2 years imprisonment - Medical Dialogues",https://medicaldialogues.in/state-news/tamil-nadu/former-vc-of-tamil-nadu-dr-mgr-medical-university-found-guilty-of-corruption-gets-2-years-imprisonment-70846," href=""https://medicaldialogues.in/state-news/tamil-nadu/former-vc-of-tamil-nadu-dr-mgr-medical-university-found-guilty-of-corruption-gets-2-years-imprisonment-70846"" target=""_blank"">Former VC of Tamil Nadu Dr MGR Medical University found guilty of corruption, gets 2 years imprisonment</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Medical Dialogues</font",2020-10-26 08:15:00+00:00,Medical Dialogues
Rockhampton lawyer Douglas Winning found guilty of corruption over attempt to bribe police when caught drink driving - ABC News,https://www.abc.net.au/news/2020-10-07/rockhampton-lawyer-douglas-winning-found-guilty-of-corruption/12739012," href=""https://www.abc.net.au/news/2020-10-07/rockhampton-lawyer-douglas-winning-found-guilty-of-corruption/12739012"" target=""_blank"">Rockhampton lawyer Douglas Winning found guilty of corruption over attempt to bribe police when caught drink driving</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ABC News</font",2020-10-07 07:00:00+00:00,ABC News
Suspended SC sheriff pleads guilty to assault of woman and corruption - The State,https://www.thestate.com/news/local/crime/article246664783.html," href=""https://www.thestate.com/news/local/crime/article246664783.html"" target=""_blank"">Suspended SC sheriff pleads guilty to assault of woman and corruption</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The State</font",2020-10-23 18:57:00+00:00,The State
Goldman Sachs unit pleads guilty in Malaysian corruption scandal - Christian Science Monitor,https://www.csmonitor.com/Business/2020/1023/Goldman-Sachs-unit-pleads-guilty-in-Malaysian-corruption-scandal," href=""https://www.csmonitor.com/Business/2020/1023/Goldman-Sachs-unit-pleads-guilty-in-Malaysian-corruption-scandal"" target=""_blank"">Goldman Sachs unit pleads guilty in Malaysian corruption scandal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Christian Science Monitor</font",2020-10-23 16:50:00+00:00,Christian Science Monitor
Disgraced ex-UAW President Williams pleads guilty in corruption saga - The Detroit News,https://www.detroitnews.com/story/business/autos/2020/09/30/uaw-president-dennis-williams/3585291001/," href=""https://www.detroitnews.com/story/business/autos/2020/09/30/uaw-president-dennis-williams/3585291001/"" target=""_blank"">Disgraced ex-UAW President Williams pleads guilty in corruption saga</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Detroit News</font",2020-09-30 07:00:00+00:00,The Detroit News
Australian health union leader pleads guilty to corruption - WSWS,https://www.wsws.org/en/articles/2020/10/15/jack-o15.html," href=""https://www.wsws.org/en/articles/2020/10/15/jack-o15.html"" target=""_blank"">Australian health union leader pleads guilty to corruption</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WSWS</font",2020-10-15 07:00:00+00:00,WSWS
Dallas public corruption trial set to start amid pandemic - WFAA.com,https://www.wfaa.com/article/news/local/dallas-public-corruption-trial-set-to-start-amid-pandemic/287-45f6b5fc-dfcd-46ed-b061-692d84e974cb," href=""https://www.wfaa.com/article/news/local/dallas-public-corruption-trial-set-to-start-amid-pandemic/287-45f6b5fc-dfcd-46ed-b061-692d84e974cb"" target=""_blank"">Dallas public corruption trial set to start amid pandemic</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WFAA.com</font",2020-10-27 02:20:00+00:00,WFAA.com
Goldman Sachs Subsidiary Pleads Guilty in Embezzlement Scandal - Spectrum News NY1,https://www.ny1.com/nyc/all-boroughs/business/2020/10/22/goldman-sachs-subsidiary-pleads-guilty-in-embezzlement-scandal--will-pay--2-9-billion," href=""https://www.ny1.com/nyc/all-boroughs/business/2020/10/22/goldman-sachs-subsidiary-pleads-guilty-in-embezzlement-scandal--will-pay--2-9-billion"" target=""_blank"">Goldman Sachs Subsidiary Pleads Guilty in Embezzlement Scandal</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Spectrum News NY1</font",2020-10-22 17:57:00+00:00,Spectrum News NY1
Contractor pleads guilty in King County drainage district corruption case - KING5.com,https://www.king5.com/article/news/investigations/renton-contractor-pleads-guilty-in-king-county-drainage-district-corruption-case/281-aa1bb369-3857-4cac-b03b-3dd22bba2028," href=""https://www.king5.com/article/news/investigations/renton-contractor-pleads-guilty-in-king-county-drainage-district-corruption-case/281-aa1bb369-3857-4cac-b03b-3dd22bba2028"" target=""_blank"">Contractor pleads guilty in King County drainage district corruption case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">KING5.com</font",2020-09-30 07:00:00+00:00,KING5.com
FALSE: Marcoses were not convicted of any charges - Rappler,https://www.rappler.com/newsbreak/fact-check/marcoses-not-convicted-any-charges," href=""https://www.rappler.com/newsbreak/fact-check/marcoses-not-convicted-any-charges"" target=""_blank"">FALSE: Marcoses were not convicted of any charges</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Rappler</font",2020-10-26 12:40:00+00:00,Rappler
Former Cuyahoga County IT Administrator pleads guilty to corruption charges - Cleveland 19 News,https://www.cleveland19.com/2020/10/06/former-cuyahoga-county-it-administrator-pleads-guilty-corruption-charges/," href=""https://www.cleveland19.com/2020/10/06/former-cuyahoga-county-it-administrator-pleads-guilty-corruption-charges/"" target=""_blank"">Former Cuyahoga County IT Administrator pleads guilty to corruption charges</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Cleveland 19 News</font",2020-10-06 07:00:00+00:00,Cleveland 19 News
"World's largest meatpacker, Brazil's J&F, pleads guilty in US court on corruption charges - MercoPress",https://en.mercopress.com/2020/10/17/world-s-largest-meatpacker-brazil-s-j-f-pleads-guilty-in-us-court-on-corruption-charges," href=""https://en.mercopress.com/2020/10/17/world-s-largest-meatpacker-brazil-s-j-f-pleads-guilty-in-us-court-on-corruption-charges"" target=""_blank"">World's largest meatpacker, Brazil's J&F, pleads guilty in US court on corruption charges</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MercoPress</font",2020-10-17 09:00:00+00:00,MercoPress
Malaysia PM Muhyiddin gets reprieve from key political ally - Al Jazeera English,https://www.aljazeera.com/news/2020/10/27/malaysia-pm-muhyiddin-gets-reprieve-from-key-political-ally-umno," href=""https://www.aljazeera.com/news/2020/10/27/malaysia-pm-muhyiddin-gets-reprieve-from-key-political-ally-umno"" target=""_blank"">Malaysia PM Muhyiddin gets reprieve from key political ally</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Al Jazeera English</font",2020-10-27 05:24:30+00:00,Al Jazeera English
